top - 16:54:17 up 15 min,  1 user,  load average: 0.07, 0.10, 0.04
Tasks: 322 total,   1 running, 321 sleeping,   0 stopped,   0 zombie
%Cpu(s):  0.0 us,  0.5 sy,  0.0 ni, 99.5 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :  14734.7 total,  13407.8 free,    937.2 used,    788.2 buff/cache     
MiB Swap:   4096.0 total,   4096.0 free,      0.0 used.  13797.5 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
    599 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    603 root      20   0       0      0      0 I   0.0   0.0   0:01.21 kworker+
    605 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    606 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    607 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    608 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    617 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
    686 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    719 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
    723 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    731 root      20   0       0      0      0 S   0.0   0.0   0:00.01 jbd2/dm+
    732 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    984 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   1018 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 psimon
   1024 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   1025 root      19  -1   83556  38376  36996 S   0.0   0.3   0:00.10 systemd+
   1038 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   1039 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   1060 root     -11   0  279456   9612   7540 S   0.0   0.1   0:00.06 multipa+
   1063 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
