USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root         103  0.0  0.0      0     0 ?        S    13:09   0:00 [migration/14]
root         104  0.0  0.0      0     0 ?        S    13:09   0:00 [ksoftirqd/14]
root         105  0.0  0.0      0     0 ?        I    13:09   0:00 [kworker/14:0-events]
root         106  0.0  0.0      0     0 ?        I<   13:09   0:00 [kworker/14:0H-kblockd]
root         107  0.0  0.0      0     0 ?        S    13:09   0:00 [cpuhp/15]
root         108  0.0  0.0      0     0 ?        S    13:09   0:00 [idle_inject/15]
root         109  0.0  0.0      0     0 ?        S    13:09   0:00 [migration/15]
root         110  0.0  0.0      0     0 ?        S    13:09   0:00 [ksoftirqd/15]
root         111  0.0  0.0      0     0 ?        I    13:09   0:00 [kworker/15:0-memcg]
root         112  0.0  0.0      0     0 ?        I<   13:09   0:00 [kworker/15:0H-kblockd]
root         113  0.0  0.0      0     0 ?        S    13:09   0:00 [cpuhp/16]
root         114  0.0  0.0      0     0 ?        S    13:09   0:00 [idle_inject/16]
root         115  0.0  0.0      0     0 ?        S    13:09   0:00 [migration/16]
root         116  0.0  0.0      0     0 ?        S    13:09   0:00 [ksoftirqd/16]
root         117  0.0  0.0      0     0 ?        I    13:09   0:00 [kworker/16:0-cgroup_offline]
root         118  0.0  0.0      0     0 ?        I<   13:09   0:00 [kworker/16:0H]
root         119  0.0  0.0      0     0 ?        S    13:09   0:00 [cpuhp/17]
root         120  0.0  0.0      0     0 ?        S    13:09   0:00 [idle_inject/17]
root         121  0.0  0.0      0     0 ?        S    13:09   0:00 [migration/17]
root         122  0.0  0.0      0     0 ?        S    13:09   0:00 [ksoftirqd/17]
root         123  0.0  0.0      0     0 ?        I    13:09   0:00 [kworker/17:0-cgroup_free]
root         124  0.0  0.0      0     0 ?        I<   13:09   0:00 [kworker/17:0H-kblockd]
root         125  0.0  0.0      0     0 ?        S    13:09   0:00 [cpuhp/18]
root         126  0.0  0.0      0     0 ?        S    13:09   0:00 [idle_inject/18]
root         127  0.0  0.0      0     0 ?        S    13:09   0:00 [migration/18]
root         128  0.0  0.0      0     0 ?        S    13:09   0:00 [ksoftirqd/18]
